data,valor,serie,descricao
2015-01-01,2.82,21082,Inadimplência PF
2015-02-01,2.85,21082,Inadimplência PF
2015-03-01,2.82,21082,Inadimplência PF
2015-04-01,2.96,21082,Inadimplência PF
2015-05-01,3.02,21082,Inadimplência PF
2015-06-01,2.92,21082,Inadimplência PF
2015-07-01,3.03,21082,Inadimplência PF
2015-08-01,3.12,21082,Inadimplência PF
2015-09-01,3.12,21082,Inadimplência PF
2015-10-01,3.24,21082,Inadimplência PF
2015-11-01,3.38,21082,Inadimplência PF
2015-12-01,3.37,21082,Inadimplência PF
2016-01-01,3.47,21082,Inadimplência PF
2016-02-01,3.5,21082,Inadimplência PF
2016-03-01,3.53,21082,Inadimplência PF
2016-04-01,3.65,21082,Inadimplência PF
2016-05-01,3.73,21082,Inadimplência PF
2016-06-01,3.51,21082,Inadimplência PF
2016-07-01,3.56,21082,Inadimplência PF
2016-08-01,3.64,21082,Inadimplência PF
2016-09-01,3.68,21082,Inadimplência PF
2016-10-01,3.84,21082,Inadimplência PF
2016-11-01,3.8,21082,Inadimplência PF
2016-12-01,3.7,21082,Inadimplência PF
2017-01-01,3.73,21082,Inadimplência PF
2017-02-01,3.75,21082,Inadimplência PF
2017-03-01,3.85,21082,Inadimplência PF
2017-04-01,3.93,21082,Inadimplência PF
2017-05-01,4.04,21082,Inadimplência PF
2017-06-01,3.73,21082,Inadimplência PF
2017-07-01,3.69,21082,Inadimplência PF
2017-08-01,3.7,21082,Inadimplência PF
2017-09-01,3.6,21082,Inadimplência PF
2017-10-01,3.63,21082,Inadimplência PF
2017-11-01,3.54,21082,Inadimplência PF
2017-12-01,3.24,21082,Inadimplência PF
2018-01-01,3.42,21082,Inadimplência PF
2018-02-01,3.43,21082,Inadimplência PF
2018-03-01,3.29,21082,Inadimplência PF
2018-04-01,3.32,21082,Inadimplência PF
2018-05-01,3.3,21082,Inadimplência PF
2018-06-01,3.04,21082,Inadimplência PF
2018-07-01,3.02,21082,Inadimplência PF
2018-08-01,3.04,21082,Inadimplência PF
2018-09-01,3.04,21082,Inadimplência PF
2018-10-01,3.05,21082,Inadimplência PF
2018-11-01,2.96,21082,Inadimplência PF
2018-12-01,2.87,21082,Inadimplência PF
2019-01-01,2.95,21082,Inadimplência PF
2019-02-01,2.91,21082,Inadimplência PF
2019-03-01,2.99,21082,Inadimplência PF
2019-04-01,3.02,21082,Inadimplência PF
2019-05-01,3.05,21082,Inadimplência PF
2019-06-01,2.95,21082,Inadimplência PF
2019-07-01,3.06,21082,Inadimplência PF
2019-08-01,3.04,21082,Inadimplência PF
2019-09-01,3.06,21082,Inadimplência PF
2019-10-01,3.03,21082,Inadimplência PF
2019-11-01,3.0,21082,Inadimplência PF
2019-12-01,2.94,21082,Inadimplência PF
2020-01-01,3.0,21082,Inadimplência PF
2020-02-01,3.04,21082,Inadimplência PF
2020-03-01,3.18,21082,Inadimplência PF
2020-04-01,3.29,21082,Inadimplência PF
2020-05-01,3.24,21082,Inadimplência PF
2020-06-01,2.89,21082,Inadimplência PF
2020-07-01,2.76,21082,Inadimplência PF
2020-08-01,2.65,21082,Inadimplência PF
2020-09-01,2.43,21082,Inadimplência PF
2020-10-01,2.35,21082,Inadimplência PF
2020-11-01,2.23,21082,Inadimplência PF
2020-12-01,2.11,21082,Inadimplência PF
2021-01-01,2.14,21082,Inadimplência PF
2021-02-01,2.23,21082,Inadimplência PF
2021-03-01,2.13,21082,Inadimplência PF
2021-04-01,2.19,21082,Inadimplência PF
2021-05-01,2.33,21082,Inadimplência PF
2021-06-01,2.27,21082,Inadimplência PF
2021-07-01,2.31,21082,Inadimplência PF
2021-08-01,2.31,21082,Inadimplência PF
2021-09-01,2.28,21082,Inadimplência PF
2021-10-01,2.28,21082,Inadimplência PF
2021-11-01,2.31,21082,Inadimplência PF
2021-12-01,2.3,21082,Inadimplência PF
2022-01-01,2.45,21082,Inadimplência PF
2022-02-01,2.51,21082,Inadimplência PF
2022-03-01,2.59,21082,Inadimplência PF
2022-04-01,2.66,21082,Inadimplência PF
2022-05-01,2.72,21082,Inadimplência PF
2022-06-01,2.66,21082,Inadimplência PF
2022-07-01,2.77,21082,Inadimplência PF
2022-08-01,2.83,21082,Inadimplência PF
2022-09-01,2.85,21082,Inadimplência PF
2022-10-01,2.96,21082,Inadimplência PF
2022-11-01,2.99,21082,Inadimplência PF
2022-12-01,2.99,21082,Inadimplência PF
2023-01-01,3.15,21082,Inadimplência PF
2023-02-01,3.27,21082,Inadimplência PF
2023-03-01,3.26,21082,Inadimplência PF
2023-04-01,3.45,21082,Inadimplência PF
2023-05-01,3.55,21082,Inadimplência PF
2023-06-01,3.51,21082,Inadimplência PF
2023-07-01,3.54,21082,Inadimplência PF
2023-08-01,3.51,21082,Inadimplência PF
2023-09-01,3.44,21082,Inadimplência PF
2023-10-01,3.46,21082,Inadimplência PF
2023-11-01,3.43,21082,Inadimplência PF
2023-12-01,3.18,21082,Inadimplência PF
2024-01-01,3.26,21082,Inadimplência PF
2024-02-01,3.26,21082,Inadimplência PF
2024-03-01,3.2,21082,Inadimplência PF
2024-04-01,3.24,21082,Inadimplência PF
2024-05-01,3.26,21082,Inadimplência PF
2024-06-01,3.17,21082,Inadimplência PF
2024-07-01,3.17,21082,Inadimplência PF
2024-08-01,3.21,21082,Inadimplência PF
2024-09-01,3.22,21082,Inadimplência PF
2024-10-01,3.17,21082,Inadimplência PF
2024-11-01,3.14,21082,Inadimplência PF
2024-12-01,2.95,21082,Inadimplência PF
